CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  2 2020  2  6  0     9.79     6.20     8.59     7.77
  3 2020  2  6  0     9.79     9.10     9.09     7.39
  4 2020  2  6  0     9.79     3.16     3.17     4.93
  5 2020  2  6  0     9.79     0.44     1.25     1.62
  6 2020  2  6  0     9.79    14.59    14.59    27.01
  7 2020  2  6  0     9.79     4.18     4.63     4.30
  8 2020  2  6  0     9.79     4.54     4.53     3.48
  9 2020  2  6  0     9.79     1.34     1.22     2.65
  1 2020  2  7  0     6.49     4.10     4.12     4.27
  2 2020  2  7  0     6.49     4.09     4.08     3.75
  3 2020  2  7  0     6.49     6.76     6.80     7.48
  4 2020  2  7  0     6.49     3.63     3.65     3.85
  5 2020  2  7  0     6.49     1.61     1.68     0.92
  6 2020  2  7  0     6.49     9.13     9.13     3.47
  7 2020  2  7  0     6.49     3.85     3.32     3.26
  8 2020  2  7  0     6.49     3.98     3.97     4.11
  9 2020  2  7  0     6.49     1.19     1.26     1.38
  1 2020  2  8  0     7.04     3.65     3.66     3.67
  2 2020  2  8  0     7.04    18.04    13.75     9.92
  3 2020  2  8  0     7.04    14.91    14.93     6.42
  4 2020  2  8  0     7.04     1.19     1.23     0.98
  5 2020  2  8  0     7.04     1.37     0.76     2.43
  6 2020  2  8  0     7.04     0.85     0.85     1.33
  7 2020  2  8  0     7.04     3.29     5.16     2.10
  8 2020  2  8  0     7.04     2.94     2.93     1.42
  9 2020  2  8  0     7.04     1.43     1.56     1.48
  1 2020  2  9  0     2.97     5.51     5.53     6.00
  2 2020  2  9  0     2.97    11.18    10.06     9.79
  3 2020  2  9  0     2.97    10.71    10.76    12.43
  4 2020  2  9  0     2.97     6.95     6.98     7.06
  5 2020  2  9  0     2.97     3.84     5.27     3.86
  6 2020  2  9  0     2.97     2.17     2.17     2.48
  7 2020  2  9  0     2.97     8.01     5.75     7.49
  8 2020  2  9  0     2.97     5.17     5.18     4.50
  9 2020  2  9  0     2.97     0.99     1.05     1.16
