CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
6	2020	6	6	0	1.7	1.94	1.94	1.75
7	2020	6	6	0	1.7	0.65	0.17	0.65
8	2020	6	6	0	1.7	1.84	1.82	4.29
9	2020	6	6	0	1.7	2.31	2.38	2.33
1	2020	6	7	0	6.4	2.37	2.37	2.53
2	2020	6	7	0	6.4	4.46	4.45	5.02
3	2020	6	7	0	6.4	1.28	1.28	1.51
4	2020	6	7	0	6.4	3.36	3.54	3.67
5	2020	6	7	0	6.4	2.9	2.9	2.94
6	2020	6	7	0	6.4	4.81	4.81	5.25
7	2020	6	7	0	6.4	0.97	0.31	1.18
8	2020	6	7	0	6.4	2.56	2.56	2.71
9	2020	6	7	0	6.4	3.44	3.41	3.45
1	2020	6	8	0	2.7	0.48	0.48	0.76
2	2020	6	8	0	2.7	3.48	3.37	3.47
3	2020	6	8	0	2.7	0.45	0.46	0.44
4	2020	6	8	0	2.7	0.58	0.58	0.72
5	2020	6	8	0	2.7	0.47	0.47	1.35
6	2020	6	8	0	2.7	3.89	3.89	3.48
7	2020	6	8	0	2.7	0.07	0.09	0.39
8	2020	6	8	0	2.7	1.31	1.31	1.56
9	2020	6	8	0	2.7	1.06	1.04	1.78
1	2020	6	9	0	3.0	0.63	0.63	0.66
2	2020	6	9	0	3.0	2.3	2.48	3.44
3	2020	6	9	0	3.0	2.77	2.76	3.41
4	2020	6	9	0	3.0	1.8	1.2	1.13
5	2020	6	9	0	3.0	0.51	0.51	0.84
6	2020	6	9	0	3.0	2.9	2.9	2.73
7	2020	6	9	0	3.0	1.07	1.4	1.55
8	2020	6	9	0	3.0	1.37	1.37	1.97
9	2020	6	9	0	3.0	0.94	1.03	1.7
1	2020	6	10	0	10000.0	0.37	0.37	0.64
2	2020	6	10	0	10000.0	1.22	1.67	2.03
3	2020	6	10	0	10000.0	1.12	1.12	1.61
4	2020	6	10	0	10000.0	0.74	0.69	1.86
5	2020	6	10	0	10000.0	0.85	0.85	0.61
6	2020	6	10	0	10000.0	1.27	1.27	2.35
7	2020	6	10	0	10000.0	0.66	0.26	0.56
8	2020	6	10	0	10000.0	1.42	1.42	1.25
9	2020	6	10	0	10000.0	1.47	1.5	1.7
1	2020	6	11	0	2.2	0.97	0.97	1.1
2	2020	6	11	0	2.2	1.54	1.46	1.68
3	2020	6	11	0	2.2	2.22	2.22	2.33
4	2020	6	11	0	2.2	3.28	2.84	2.7
5	2020	6	11	0	2.2	1.4	1.4	1.3
6	2020	6	11	0	2.2	1.67	1.67	1.16
7	2020	6	11	0	2.2	2.25	2.22	2.6
8	2020	6	11	0	2.2	2.18	2.18	2.23
9	2020	6	11	0	2.2	3.22	3.16	3.18
1	2020	6	12	0	5.6	1.36	1.36	2.08
2	2020	6	12	0	5.6	1.62	1.38	0.94
3	2020	6	12	0	5.6	2.81	2.81	2.38
4	2020	6	12	0	5.6	1.75	2.28	1.96
5	2020	6	12	0	5.6	1.26	1.26	1.16
6	2020	6	12	0	5.6	1.52	1.52	1.53
7	2020	6	12	0	5.6	3.22	2.96	1.69
8	2020	6	12	0	5.6	2.85	2.84	2.21
9	2020	6	12	0	5.6	1.66	1.68	1.24
1	2020	6	13	0	3.7	1.96	1.96	2.12
2	2020	6	13	0	3.7	2.38	2.65	2.57
3	2020	6	13	0	3.7	1.49	1.49	1.47
4	2020	6	13	0	3.7	1.66	1.79	1.59
5	2020	6	13	0	3.7	1.83	1.83	1.45
6	2020	6	13	0	3.7	2.68	2.68	2.65
7	2020	6	13	0	3.7	2.98	3.06	3.31
8	2020	6	13	0	3.7	3.42	3.43	2.59
9	2020	6	13	0	3.7	1.56	1.59	1.35
1	2020	6	14	0	10000.0	1.43	1.43	1.34
2	2020	6	14	0	10000.0	1.74	1.73	1.71
3	2020	6	14	0	10000.0	1.64	1.64	1.55
4	2020	6	14	0	10000.0	3.62	2.74	2.57
5	2020	6	14	0	10000.0	3.07	3.07	2.99
6	2020	6	14	0	10000.0	2.36	2.36	2.52
7	2020	6	14	0	10000.0	1.42	1.3	1.17
8	2020	6	14	0	10000.0	4.8	4.8	4.23
9	2020	6	14	0	10000.0	2.09	2.1	2.23
1	2020	6	15	0	8.3	1.43	1.41	1.27
2	2020	6	15	0	8.3	4.63	4.68	4.72
3	2020	6	15	0	8.3	1.63	1.62	1.69
4	2020	6	15	0	8.3	5.6	5.15	4.47
5	2020	6	15	0	8.3	3.4	3.4	0.82
6	2020	6	15	0	8.3	3.15	3.15	3.5
7	2020	6	15	0	8.3	1.85	2.22	1.89
8	2020	6	15	0	8.3	3.83	3.81	4.12
9	2020	6	15	0	8.3	3.3	3.15	3.27
1	2020	6	16	0	0.0	2.51	2.52	1.59
2	2020	6	16	0	0.0	2.58	2.56	2.6
3	2020	6	16	0	0.0	7.58	7.61	6.42
4	2020	6	16	0	0.0	5.63	5.23	5.41
5	2020	6	16	0	0.0	0.87	0.87	0.9
6	2020	6	16	0	0.0	1.66	1.66	1.91
